---- AnyBody Output File ---------------------------------
Study: Main.Studies.KinematicStudy
Operation: Main.Studies.KinematicStudy.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.FileName = "..\..\bergmann_validation\Tmp\0H2R_150811_2_100_labelled_cropped-euler-leftlegtd.txt"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.Width = 23
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Values = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Search = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Format = 0
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.SepSign = " "
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.ColumnNamesShortenOnOff = Off
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.KinematicStudy.t
col1  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.HipFlexion
col2  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.HipAbduction
col3  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.HipExternalRotation
col4  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.KneeFlexion
col5  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.AnklePlantarFlexion
col6  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.SubTalarEversion
----------------------------------------------------------
Main.Studies.KinematicStudy.t Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.HipFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.HipAbduction Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.HipExternalRotation Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.KneeFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.AnklePlantarFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.SubTalarEversion
 4.800000000000000e+000  3.304722051142879e-001  1.111638612682775e-001 -1.032301883891257e-001  1.086622222672458e+000  1.237106169201292e-001 -1.343765184209216e-001
 4.808333333333334e+000  3.406045338956108e-001  1.066212128428954e-001 -9.926871060107957e-002  1.055557710350158e+000  1.395620404802195e-001 -1.440932211865524e-001
 4.816666666666666e+000  3.499814477400632e-001  1.020738693141070e-001 -9.560752258400272e-002  1.021693870875256e+000  1.539340220614551e-001 -1.538510221415197e-001
 4.825000000000000e+000  3.586311203572384e-001  9.750240409172051e-002 -9.237573230241471e-002  9.848200852408534e-001  1.668325375338407e-001 -1.632993185129134e-001
 4.833333333333333e+000  3.664955478989659e-001  9.293100058538939e-002 -8.971370453954480e-002  9.449869313295602e-001  1.781411902603136e-001 -1.720205274635596e-001
 4.841666666666667e+000  3.734869555803681e-001  8.842170484231415e-002 -8.772809433989202e-002  9.023339464701248e-001  1.876362409824350e-001 -1.796532679049514e-001
 4.850000000000000e+000  3.795602918521017e-001  8.403088242403101e-002 -8.650049339210705e-002  8.569775154672918e-001  1.952134137931794e-001 -1.858716371104028e-001
 4.858333333333333e+000  3.846832267190078e-001  7.982735884288728e-002 -8.607624363767075e-002  8.090492855474120e-001  2.008017965838820e-001 -1.904039568239168e-001
 4.866666666666666e+000  3.888319426775336e-001  7.589797598997494e-002 -8.645645683038335e-002  7.587069569811108e-001  2.043472600151703e-001 -1.930400930960786e-001
 4.875000000000000e+000  3.919885965982969e-001  7.235117222246235e-002 -8.758861514631704e-002  7.061506554539953e-001  2.058021868725798e-001 -1.936399436942435e-001
 4.883333333333333e+000  3.941400264925434e-001  6.931538846313412e-002 -8.935607387184269e-002  6.516444756409517e-001  2.051248505239866e-001 -1.921465771093819e-001
 4.891666666666667e+000  3.952800375581558e-001  6.693059476114804e-002 -9.156874105549595e-002  5.955427315982695e-001  2.022912409646663e-001 -1.886049509314450e-001
 4.900000000000000e+000  3.954176758262266e-001  6.533210983151694e-002 -9.395844639796544e-002  5.383183805156729e-001  1.973193598663982e-001 -1.831833225601899e-001
 4.908333333333333e+000  3.945899804468931e-001  6.462624761564495e-002 -9.618411225973497e-002  4.805879056522855e-001  1.903024485673202e-001 -1.761902451488916e-001
 4.916666666666666e+000  3.928749652702683e-001  6.485963209651646e-002 -9.785497951589257e-002  4.231247595527759e-001  1.814444526858238e-001 -1.680736773443403e-001
 4.925000000000000e+000  3.904019751517978e-001  6.598913152469832e-002 -9.858048904371966e-002  3.668530759380753e-001  1.710871338160660e-001 -1.593840790298918e-001
 4.933333333333334e+000  3.873579561923587e-001  6.787569885447220e-002 -9.802978203064862e-002  3.128112722840237e-001  1.597249504171280e-001 -1.506769111955260e-001
 4.941666666666666e+000  3.839888446847092e-001  7.024765969297242e-002 -9.607757256515442e-002  2.621137970013863e-001  1.479334291902059e-001 -1.424545331326474e-001
 4.950000000000000e+000  3.805764196905456e-001  7.280482589603832e-002 -9.275744196649220e-002  2.158470726850070e-001  1.363813528591294e-001 -1.349816635916538e-001
