---- AnyBody Output File ---------------------------------
Study: Main.Studies.KinematicStudy
Operation: Main.Studies.KinematicStudy.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.FileName = "..\..\bergmann_validation\Tmp\1H2R_150811_2_100_labelled_cropped-euler-rightlegtd.txt"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.NumberFormat.Width = 23
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Values = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Format = 0
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.ColumnNamesShortenOnOff = Off
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.KinematicStudy.t
col1  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.KinematicStudy.t Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.SubTalarEversion
 4.800000000000000e+000 -1.303553867036129e-003 -1.418814081476780e-001 -8.916220159364315e-002  2.475201159122575e-001  2.794693913714833e-001 -1.502738073323619e-001
 4.808333333333334e+000 -1.509296881491523e-002 -1.397570062213576e-001 -9.213747707934264e-002  2.384020702034696e-001  2.849039538298476e-001 -1.443472403006029e-001
 4.816666666666666e+000 -2.914351292338924e-002 -1.375091173856258e-001 -9.510853261981331e-002  2.290756985521717e-001  2.902830817114814e-001 -1.383863077006307e-001
 4.825000000000000e+000 -4.330609197180677e-002 -1.351723652926418e-001 -9.808433225136035e-002  2.196257522423503e-001  2.956097793967145e-001 -1.325136796759759e-001
 4.833333333333333e+000 -5.735228763185557e-002 -1.328028033075388e-001 -1.010535432773193e-001  2.101989538750176e-001  3.008572328601026e-001 -1.268808618724655e-001
 4.841666666666667e+000 -7.111430434923709e-002 -1.304723412844682e-001 -1.040071212046598e-001  2.009139724028395e-001  3.060037704103202e-001 -1.216057358581197e-001
 4.850000000000000e+000 -8.444768834600719e-002 -1.282493672352572e-001 -1.069390766690401e-001  1.918745679497519e-001  3.110455074683640e-001 -1.167901883943804e-001
 4.858333333333333e+000 -9.724221491850105e-002 -1.262027423513779e-001 -1.098429474003553e-001  1.831688018688935e-001  3.159902849665207e-001 -1.125001456191170e-001
 4.866666666666666e+000 -1.094228757918179e-001 -1.244033182253777e-001 -1.127112101652687e-001  1.748723241174150e-001  3.208542734299554e-001 -1.087611318835099e-001
 4.875000000000000e+000 -1.209511480156542e-001 -1.229253896275522e-001 -1.155355359801328e-001  1.670515719855364e-001  3.256566100244532e-001 -1.055594611183334e-001
 4.883333333333333e+000 -1.318274691805871e-001 -1.218456277700399e-001 -1.183072181804112e-001  1.597659911991022e-001  3.304142595898869e-001 -1.028439099308465e-001
 4.891666666666667e+000 -1.420926245969525e-001 -1.212388572855001e-001 -1.210179654453483e-001  1.530701868822393e-001  3.351391398992322e-001 -1.005279331732444e-001
 4.900000000000000e+000 -1.518244287053378e-001 -1.211702234999845e-001 -1.236620873965701e-001  1.470170182725580e-001  3.398379686906501e-001 -9.849413762635098e-002
 4.908333333333333e+000 -1.611288528604673e-001 -1.216825276995310e-001 -1.262393818609584e-001  1.416611015533030e-001  3.445132450497353e-001 -9.660048877551199e-002
 4.916666666666666e+000 -1.701264435150479e-001 -1.227792248162809e-001 -1.287564480081992e-001  1.370622700323509e-001  3.491634805518490e-001 -9.468823428251871e-002
 4.925000000000000e+000 -1.789328250256310e-001 -1.244072189752858e-001 -1.312244392790500e-001  1.332901145207854e-001  3.537824105128657e-001 -9.259148044848277e-002
 4.933333333333334e+000 -1.876258376694887e-001 -1.264458567715276e-001 -1.336839087768785e-001  1.304362262528353e-001  3.583601810365446e-001 -9.016350783369274e-002
 4.941666666666666e+000 -1.962466778887035e-001 -1.287129286580797e-001 -1.360729102390247e-001  1.285918937796959e-001  3.628690497177355e-001 -8.722232618074578e-002
 4.950000000000000e+000 -2.047516462681889e-001 -1.309798428991478e-001 -1.384082362580603e-001  1.278864842194044e-001  3.672762597038639e-001 -8.365906598829227e-002
 4.958333333333333e+000 -2.130329934738285e-001 -1.330045598175533e-001 -1.406708528765990e-001  1.284601235898013e-001  3.715304526852868e-001 -7.939037861183064e-002
 4.966666666666667e+000 -2.209360456217496e-001 -1.345621898837615e-001 -1.428483220593776e-001  1.304614379703844e-001  3.755612175723680e-001 -7.438379992190557e-002
 4.975000000000000e+000 -2.282906194734147e-001 -1.354690662142877e-001 -1.449441321176977e-001  1.340362014824514e-001  3.792768884020660e-001 -6.865751757619916e-002
