---- AnyBody Output File ---------------------------------
Study: Main.Studies.KinematicStudy
Operation: Main.Studies.KinematicStudy.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.UpdData = 3
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.FileName = "..\..\bergmann_validation\Tmp\H2R_150811_2_100_labelled_cropped-euler-leftlegtd.txt"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.Width = 23
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Values = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Search = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Format = 0
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.SepSign = " "
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.ColumnIDString = "col"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.KinematicStudy.t
col1  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.HipFlexion
col2  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.HipAbduction
col3  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.HipExternalRotation
col4  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.KneeFlexion
col5  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.AnklePlantarFlexion
col6  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.SubTalarEversion
----------------------------------------------------------
Main.Studies.KinematicStudy.t Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.HipFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.HipAbduction Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.HipExternalRotation Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.KneeFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.AnklePlantarFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.SubTalarEversion
5.200000000000000e+000 4.245199328960587e-001 -7.215774924494078e-002 -8.161914172463992e-002 3.126999393761899e-001 9.382125713424630e-004 4.206394126463715e-002
5.208333333333334e+000 4.118358518331299e-001 -7.919641597143845e-002 -8.439163424850384e-002 3.129893510607150e-001 -1.008790763788153e-002 4.003138519413666e-002
5.216666666666667e+000 3.989127138017570e-001 -8.542970827590324e-002 -8.739597079764394e-002 3.122844670489007e-001 -2.088263051393170e-002 3.749258105539816e-002
5.225000000000001e+000 3.857819019217023e-001 -9.080794183499563e-002 -9.072210641361349e-002 3.106733726667041e-001 -3.131631436594834e-002 3.457416084006311e-002
5.233333333333333e+000 3.724745373852770e-001 -9.531092078829739e-002 -9.444644359568380e-002 3.082412985137554e-001 -4.129916702593997e-002 3.140625395249749e-002
5.241666666666667e+000 3.590034001271222e-001 -9.894314213264255e-002 -9.862709269303059e-002 3.050655748532546e-001 -5.077657535926546e-002 2.811255813048781e-002
5.250000000000000e+000 3.453735838546577e-001 -1.017258317288752e-001 -1.032975367248826e-001 3.012229223672973e-001 -5.972760265659973e-002 2.479383592061262e-002
5.258333333333334e+000 3.315900786275079e-001 -1.036910198153889e-001 -1.084607014152834e-001 2.967944301330703e-001 -6.816090706834900e-002 2.151593713300004e-002
5.266666666666667e+000 3.176614962721391e-001 -1.048781547417448e-001 -1.140870816687776e-001 2.918642171276570e-001 -7.610751940034706e-002 1.830701452623392e-002
5.275000000000000e+000 3.036111883909676e-001 -1.053324189400933e-001 -1.201206833287591e-001 2.865255850902349e-001 -8.361703453968494e-002 1.516087744928601e-002
5.283333333333333e+000 2.894660284541104e-001 -1.051058156977118e-001 -1.264825047513454e-001 2.808650881760910e-001 -9.074632558547355e-002 1.204873434364244e-002
5.291666666666667e+000 2.752656169053102e-001 -1.042563986041258e-001 -1.330772299358074e-001 2.749704393212596e-001 -9.755936458104592e-002 8.923057014197634e-003
5.300000000000000e+000 2.610624079547985e-001 -1.028482606368235e-001 -1.398003030812292e-001 2.689291964786036e-001 -1.041245749018366e-001 5.724437011073366e-003
5.308333333333334e+000 2.469212441469872e-001 -1.009520471663146e-001 -1.465486706894485e-001 2.628280240767210e-001 -1.105126241556647e-001 2.391358634940389e-003
5.316666666666666e+000 2.329152697600598e-001 -9.864563249826497e-002 -1.532303202759569e-001 2.567506309010734e-001 -1.167933147097015e-001 -1.129003583106868e-003
5.325000000000000e+000 2.191203475466544e-001 -9.601402627736944e-002 -1.597692436279166e-001 2.507765621518875e-001 -1.230331525572875e-001 -4.873501340099385e-003
5.333333333333334e+000 2.056096980675241e-001 -9.314843837896825e-002 -1.661057806682837e-001 2.449812100952605e-001 -1.292946300856143e-001 -8.861432717221592e-003
5.341666666666667e+000 1.924489955775524e-001 -9.014461128665197e-002 -1.721934144458114e-001 2.394358712874872e-001 -1.356362360787795e-001 -1.309738851389466e-002
5.350000000000001e+000 1.796920885317137e-001 -8.710052717596639e-002 -1.779939279536102e-001 2.342070571290035e-001 -1.421115004634403e-001 -1.757455436786112e-002
5.358333333333333e+000 1.673780279804939e-001 -8.411384234154751e-002 -1.834729698714551e-001 2.293547043905303e-001 -1.487659428801534e-001 -2.227563937446682e-002
5.366666666666667e+000 1.555302591069893e-001 -8.127897411639706e-002 -1.885977872868690e-001 2.249299280867671e-001 -1.556324356894675e-001 -2.717263812438712e-002
