---- AnyBody Output File ---------------------------------
Study: Main.Studies.KinematicStudy
Operation: Main.Studies.KinematicStudy.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.UpdData = 3
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.FileName = "..\..\bergmann_validation\Tmp\H2R_150811_2_100_labelled_cropped-euler-rightlegtd.txt"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.NumberFormat.Width = 23
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Values = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Format = 0
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.ColumnIDString = "col"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.KinematicStudy.t
col1  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.KinematicStudy.t Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.SubTalarEversion
5.200000000000000e+000 1.502919377543060e-001 3.436122139205700e-002 -1.464172169559808e-001 9.472746087142175e-001 1.741973900670965e-001 -2.452062295438581e-001
5.208333333333334e+000 1.752099237529164e-001 3.929173466262048e-002 -1.426430839048127e-001 9.852492728954002e-001 1.840646343407763e-001 -2.372022613247446e-001
5.216666666666667e+000 2.003181862349748e-001 4.342034973450515e-002 -1.387969482067267e-001 1.020085731705373e+000 1.891481799492695e-001 -2.273829234967904e-001
5.225000000000001e+000 2.254724582923845e-001 4.670793786897076e-002 -1.348079671586514e-001 1.051493191347041e+000 1.896346815597362e-001 -2.157945802236036e-001
5.233333333333333e+000 2.505328353225516e-001 4.915379672256548e-002 -1.305885288247572e-001 1.079212861735904e+000 1.858961508095174e-001 -2.024645180947181e-001
5.241666666666667e+000 2.753429855268739e-001 5.079187295131704e-002 -1.260486067583793e-001 1.103015480455750e+000 1.784447648709090e-001 -1.874448668943818e-001
5.250000000000000e+000 2.997362918704163e-001 5.168261667925278e-002 -1.211063768564484e-001 1.122705415516088e+000 1.678715321522140e-001 -1.708497333396791e-001
5.258333333333334e+000 3.235430746711684e-001 5.190606279177445e-002 -1.156971288654774e-001 1.138126105964423e+000 1.547947404647196e-001 -1.528768439886137e-001
5.266666666666667e+000 3.465981911278497e-001 5.155602060598974e-002 -1.097810782952491e-001 1.149162776237660e+000 1.398216229804373e-001 -1.338108606541306e-001
5.275000000000000e+000 3.687540001760131e-001 5.073404264894199e-002 -1.033484703334066e-001 1.155745814822205e+000 1.235296869190345e-001 -1.140106744981001e-001
5.283333333333333e+000 3.898782155199301e-001 4.954669111738896e-002 -9.642345512042999e-002 1.157845087483187e+000 1.064438681378130e-001 -9.388794380494127e-002
5.291666666666667e+000 4.098628844332734e-001 4.810001094675531e-002 -8.906208731500188e-002 1.155470276593416e+000 8.903383853988212e-002 -7.387802352395574e-002
5.300000000000000e+000 4.286267584672058e-001 4.649591025389888e-002 -8.134646549724434e-002 1.148667451447996e+000 7.170854993725032e-002 -5.440852328491173e-002
5.308333333333334e+000 4.461163790016082e-001 4.482995633518039e-002 -7.337642088251559e-002 1.137515581043244e+000 5.481331641555082e-002 -3.586792954905894e-002
5.316666666666666e+000 4.623030887553506e-001 4.319073111003924e-002 -6.526128902644195e-002 1.122121659238004e+000 3.862736971075072e-002 -1.857996183146303e-002
5.325000000000000e+000 4.771771307818301e-001 4.165978893343025e-002 -5.711236172935685e-002 1.102614748607627e+000 2.336325274359160e-002 -2.787917781136698e-003
5.333333333333334e+000 4.907411076902195e-001 4.031180268489898e-002 -4.903639684911124e-002 1.079140137955559e+000 9.169765470678140e-003 1.134924085117679e-002
5.341666666666667e+000 5.030038483350154e-001 3.921466964686426e-002 -4.113067954353893e-002 1.051854152366542e+000 -3.861811005682976e-003 2.374999268496685e-002
5.350000000000001e+000 5.139750206919131e-001 3.842929935257744e-002 -3.347957194228456e-002 1.020919619584224e+000 -1.569076635085062e-002 3.439586583980887e-002
5.358333333333333e+000 5.236616746878688e-001 3.800907402059695e-002 -2.615216786482103e-002 9.865028037803615e-001 -2.632059110226905e-002 4.331205363962063e-002
5.366666666666667e+000 5.320676863734628e-001 3.799901365032121e-002 -1.919979300105149e-002 9.487728405423480e-001 -3.579118258334520e-002 5.054387061303287e-002
