---- AnyBody Output File ---------------------------------
Study: Main.Studies.KinematicStudy
Operation: Main.Studies.KinematicStudy.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.UpdData = 3
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.FileName = "..\..\bergmann_validation\Tmp\H2R_150811_2_100_labelled_cropped-euler-trunk.txt"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.Width = 23
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Values = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Search = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Format = 0
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SepSign = " "
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SepSpaceAutoOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ShortenNamesOnOff = Off
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ColumnIDString = "col"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.KinematicStudy.t
col1  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRotX
col5  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRotY
col6  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRotZ
col7  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisThoraxExtension
col8  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending
col9  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisThoraxRotation
col10  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SkullThoraxFlexion
col11  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SkullThoraxLateralBending
col12  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SkullThoraxRotation
----------------------------------------------------------
Main.Studies.KinematicStudy.t Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosX Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosY Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosZ Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRotX Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRotY Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRotZ Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisThoraxExtension Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisThoraxLateralBending Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisThoraxRotation Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SkullThoraxFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SkullThoraxLateralBending Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile1.SkullThoraxRotation
5.200000000000000e+000 2.013875454241530e-001 -5.806396040653655e-002 9.509385518255925e-001 1.592593545834184e+000 1.188849611757574e-001 1.470537242696918e+000 -1.470613555610149e-001 -5.987201026074990e-002 2.920921776863655e-002 0.000000000000000e+000 -5.551115123125783e-017 -1.665334536937735e-016
5.208333333333334e+000 2.011363836682364e-001 -4.921276777625985e-002 9.517581627746377e-001 1.595864819433057e+000 1.172713909165335e-001 1.475970735431228e+000 -1.485807765228175e-001 -6.201150364970900e-002 1.942163563281048e-002 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000
5.216666666666667e+000 2.009030752566866e-001 -4.043425555519901e-002 9.526118165373654e-001 1.598513615843971e+000 1.158673159095165e-001 1.481592149108621e+000 -1.497731317862672e-001 -6.322728158749327e-002 9.649857145452186e-003 1.110223024625156e-016 0.000000000000000e+000 0.000000000000000e+000
5.225000000000001e+000 2.006854323446854e-001 -3.172571198189061e-002 9.535009130326083e-001 1.600501587036215e+000 1.146586707240642e-001 1.487390158105433e+000 -1.506796418460809e-001 -6.347770899875251e-002 -7.550083651029813e-005 -1.110223024625157e-016 1.110223024625157e-016 1.665334536937735e-016
5.233333333333333e+000 2.004824176434483e-001 -2.308286194446057e-002 9.544235556649728e-001 1.601813402159898e+000 1.136328920022460e-001 1.493364547268731e+000 -1.513397553091467e-001 -6.274833488650519e-002 -9.747751329215605e-003 0.000000000000000e+000 0.000000000000000e+000 -5.551115123125782e-017
5.241666666666667e+000 2.002942611815903e-001 -1.450100964238927e-002 9.553744788734401e-001 1.602454761609725e+000 1.127645740440646e-001 1.499524795229102e+000 -1.518098706474446e-001 -6.105107328711248e-002 -1.937483951629898e-002 0.000000000000000e+000 0.000000000000000e+000 5.551115123125783e-017
5.250000000000000e+000 2.001227054985799e-001 -5.974808290075948e-003 9.563458427176549e-001 1.602447877959151e+000 1.120222473301573e-001 1.505888204174641e+000 -1.521519002175606e-001 -5.841949368588537e-002 -2.897813190343603e-002 2.220446049250313e-016 0.000000000000000e+000 5.551115123125783e-017
5.258333333333334e+000 1.999709350805964e-001 2.501689761583095e-003 9.573279779473464e-001 1.601828372506748e+000 1.113730688860133e-001 1.512476177778361e+000 -1.524257850745637e-001 -5.490603273489896e-002 -3.858778475671237e-002 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000
5.266666666666667e+000 1.998431624337635e-001 1.093506392331902e-002 9.583101582066362e-001 1.600643431973104e+000 1.107869046889185e-001 1.519308676733994e+000 -1.526831708873961e-001 -5.058049177647092e-002 -4.823639105930524e-002 0.000000000000000e+000 0.000000000000000e+000 5.551115123125780e-017
5.275000000000000e+000 1.997439702770923e-001 1.933199193190106e-002 9.592810710071849e-001 1.598949492696106e+000 1.102429763958344e-001 1.526399806312885e+000 -1.529602400463216e-001 -4.552715750745558e-002 -5.795139338950719e-002 0.000000000000000e+000 0.000000000000000e+000 0.000000000000000e+000
5.283333333333333e+000 1.996777361629076e-001 2.769991366253473e-002 9.602293426412918e-001 1.596812823981475e+000 1.097278508875110e-001 1.533751376420792e+000 -1.532777256649292e-001 -3.984558151855795e-002 -6.775045056742676e-002 5.551115123125783e-017 1.110223024625157e-016 1.110223024625157e-016
5.291666666666667e+000 1.996482708972592e-001 3.604637896208018e-002 9.611435817795918e-001 1.594306887853069e+000 1.092394001334425e-001 1.541351763793629e+000 -1.536378489294684e-001 -3.364676532125449e-002 -7.763768801029501e-002 -1.665334536937735e-016 0.000000000000000e+000 -5.551115123125783e-017
5.300000000000000e+000 1.996587367358274e-001 4.437886152421594e-002 9.620125168734772e-001 1.591510497564120e+000 1.087873649424977e-001 1.549176399785901e+000 -1.540241643082079e-001 -2.705005823706499e-002 -8.760427612944828e-002 -5.551115123125783e-017 5.551115123125783e-017 -1.110223024625157e-016
5.308333333333334e+000 1.997116296579508e-001 5.270450624707909e-002 9.628250881839487e-001 1.588506155951539e+000 1.083931120942974e-001 1.557190112072199e+000 -1.544027421411688e-001 -2.017972432351768e-002 -9.763098279338696e-002 -1.110223024625156e-016 -5.551115123125782e-017 0.000000000000000e+000
5.316666666666666e+000 1.998087234717811e-001 6.102995394317388e-002 9.635705215283146e-001 1.585378971691050e+000 1.080868101788381e-001 1.565349551480637e+000 -1.547263468875510e-001 -1.316214055025197e-002 -1.076912310604238e-001 0.000000000000000e+000 0.000000000000000e+000 -5.551115123125783e-017
