---- AnyBody Output File ---------------------------------
Study: Main.Studies.KinematicStudy
Operation: Main.Studies.KinematicStudy.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.FileName = "..\..\bergmann_validation\Tmp\H2R_150811_2_100_labelled_cropped_TLEM1-euler-leftlegtd.txt"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.Width = 23
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Values = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Search = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Format = 0
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.SepSign = " "
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.ColumnNamesShortenOnOff = Off
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.KinematicStudy.t
col1  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.HipFlexion
col2  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.HipAbduction
col3  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.HipExternalRotation
col4  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.KneeFlexion
col5  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.AnklePlantarFlexion
col6  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.SubTalarEversion
----------------------------------------------------------
Main.Studies.KinematicStudy.t Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.HipFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.HipAbduction Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.HipExternalRotation Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.KneeFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.AnklePlantarFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile2.SubTalarEversion
 4.800000000000000e+000  2.785118628662857e-001  8.286780246947889e-002 -9.889699057934090e-002  1.072149372931696e+000  5.214992078219823e-002 -5.044282681299651e-002
 4.808333333333334e+000  2.890941428469499e-001  7.894914108825279e-002 -9.578829161571492e-002  1.039989294693568e+000  6.570280838763784e-002 -6.151690492754639e-002
 4.816666666666666e+000  2.990653293460779e-001  7.503539538474979e-002 -9.293645541505036e-002  1.005023786362999e+000  7.803254119449145e-002 -7.265068279586141e-002
 4.825000000000000e+000  3.084291640475186e-001  7.110434795971887e-002 -9.047538214179374e-002  9.670404825617082e-001  8.909728763143494e-002 -8.355949623186731e-002
 4.833333333333333e+000  3.170985505862072e-001  6.716307624187135e-002 -8.854207892459240e-002  9.260815918226800e-001  9.873535246597816e-002 -9.382879664729900e-002
 4.841666666666667e+000  3.249677549820800e-001  6.325332090507940e-002 -8.724490110708030e-002  8.822793108986380e-001  1.066954706312882e-001 -1.030697615309961e-001
 4.850000000000000e+000  3.319663642723161e-001  5.940755739786696e-002 -8.667410343844230e-002  8.357371736536170e-001  1.128240561725159e-001 -1.109208820426283e-001
 4.858333333333333e+000  3.380365013456900e-001  5.566823289077716e-002 -8.689227321466457e-002  7.865714712712693e-001  1.169977787299036e-001 -1.170572918414602e-001
 4.866666666666666e+000  3.431314300535304e-001  5.209504348025318e-002 -8.792872717115728e-002  7.349237281838429e-001  1.191123630588419e-001 -1.211957279077672e-001
 4.875000000000000e+000  3.472169153606202e-001  4.877150909626860e-002 -8.977243688302815e-002  6.809799131795817e-001  1.190768930124507e-001 -1.231018038860444e-001
 4.883333333333333e+000  3.502749015898918e-001  4.580796962540856e-002 -9.236287465312021e-002  6.249962642147745e-001  1.168173957400825e-001 -1.226046960357124e-001
 4.891666666666667e+000  3.523104244349953e-001  4.333855699417732e-002 -9.557927530738891e-002  5.673307911360082e-001  1.122928252265125e-001 -1.196223047431628e-001
 4.900000000000000e+000  3.533620135394503e-001  4.150977784061394e-002 -9.922953668019857e-002  5.084766621829517e-001  1.055233654255932e-001 -1.141964514369804e-001
 4.908333333333333e+000  3.535125544438734e-001  4.045858416555093e-002 -1.030424483206893e-001  4.490899647106522e-001  9.662673177768534e-002 -1.065323298209716e-001
 4.916666666666666e+000  3.528951258145648e-001  4.028025104638888e-002 -1.066726221000025e-001  3.900017605282103e-001  8.585414601325188e-002 -9.702676157650815e-002
 4.925000000000000e+000  3.516897302099080e-001  4.099185552502416e-002 -1.097317461952826e-001  3.322041143673116e-001  7.361334055073113e-002 -8.625917556297605e-002
 4.933333333333334e+000  3.501103473382711e-001  4.250385608297180e-002 -1.118533348052030e-001  2.768042099927295e-001  6.046332476757838e-002 -7.492189083251330e-002
 4.941666666666666e+000  3.483843102284870e-001  4.461458626381964e-002 -1.127771533279058e-001  2.249504698501055e-001  4.707153057431523e-002 -6.369337887853578e-002
 4.950000000000000e+000  3.467278596165523e-001  4.703549362595738e-002 -1.124158355455392e-001  1.777445073259210e-001  3.413867093762310e-002 -5.309929806191717e-002
 4.958333333333333e+000  3.453174781270215e-001  4.943838620867513e-002 -1.108700345800859e-001  1.361411466449229e-001  2.229100694407437e-002 -4.338626986849248e-002
 4.966666666666667e+000  3.442923590019851e-001  5.151901982033458e-002 -1.083632001741158e-001  1.009381236064792e-001  1.207190532919053e-002 -3.467798216782663e-002
 4.975000000000000e+000  3.437137503941311e-001  5.302658182762121e-002 -1.051914063345066e-001  7.264480663979364e-002  3.784010227863443e-003 -2.681097450442542e-002
 4.983333333333333e+000  3.435809798402439e-001  5.379399716064981e-002 -1.016428137740858e-001  5.151048582938533e-002 -2.465584156648219e-003 -1.956268456081213e-002
 4.991666666666666e+000  3.438310358423015e-001  5.373913716796297e-002 -9.796976837087648e-002  3.750403676025086e-002 -6.774069245503491e-003 -1.267372981269057e-002
 5.000000000000000e+000  3.443476426417726e-001  5.285474734134721e-002 -9.438190132897052e-002  3.032141886484729e-002 -9.417950280964205e-003 -5.881564269348736e-003
 5.008333333333333e+000  3.449724370967243e-001  5.118990397606393e-002 -9.105085660894986e-002  2.940583953064549e-002 -1.081876008282262e-002  1.060401221113948e-003
 5.016666666666667e+000  3.455195436449529e-001  4.882838231918418e-002 -8.811511217559900e-002  3.399063498883043e-002 -1.148471505501319e-002  8.345972188689176e-003
 5.025000000000000e+000  3.457762239858105e-001  4.585731773085966e-002 -8.568381614481917e-002  4.310773526622777e-002 -1.203122468483654e-002  1.619393223385089e-002
 5.033333333333333e+000  3.455397212443488e-001  4.235563845649137e-002 -8.382989834206746e-002  5.572139560891789e-002 -1.300474207983972e-002  2.468647738968376e-002
 5.041666666666666e+000  3.446232049472079e-001  3.837207931818232e-002 -8.259155904018956e-002  7.076995068590132e-002 -1.487994844964249e-002  3.386277340139679e-002
 5.050000000000000e+000  3.428804513538209e-001  3.392327896983383e-002 -8.197349234456559e-002  8.727877983609293e-002 -1.795127965861678e-002  4.368203721321142e-002
 5.058333333333334e+000  3.402226402457753e-001  2.900043046019429e-002 -8.195433538721561e-002  1.044560003465717e-001 -2.226016654964532e-002  5.402130974049493e-002
 5.066666666666666e+000  3.366262293191404e-001  2.358163852002626e-002 -8.249304546942855e-002  1.217518446550887e-001 -2.757634892683632e-002  6.468707945661445e-002
 5.075000000000000e+000  3.321288059356120e-001  1.764409102362574e-002 -8.352558409081763e-002  1.388546267914018e-001 -3.345023478259916e-002  7.543689887963068e-002
