---- AnyBody Output File ---------------------------------
Study: Main.Studies.KinematicStudy
Operation: Main.Studies.KinematicStudy.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.FileName = "..\..\bergmann_validation\Tmp\H2R_150811_2_100_labelled_cropped_TLEM1-euler-rightlegtd.txt"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.NumberFormat.Width = 23
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%23.15e"
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Values = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Search = 
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Format = 0
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.SepSign = " "
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.ConstSectionSaveOptionsOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.ColumnNamesShortenOnOff = Off
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.ConstSectionSaveOptionsOnOff = On
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Studies.KinematicStudy.t
col1  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.HipFlexion
col2  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.HipAbduction
col3  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.HipExternalRotation
col4  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.KneeFlexion
col5  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.AnklePlantarFlexion
col6  Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.SubTalarEversion
----------------------------------------------------------
Main.Studies.KinematicStudy.t Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.HipFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.HipAbduction Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.HipExternalRotation Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.KneeFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.AnklePlantarFlexion Main.Studies.KinematicStudy.JointAngleOutputs.OutputFile3.SubTalarEversion
 4.800000000000000e+000  5.898013800236170e-003 -1.391265071409960e-001 -8.946446268189044e-002  2.566623524556904e-001  1.537834268420745e-001 -2.627706410559084e-001
 4.808333333333334e+000 -5.211510155899675e-003 -1.380895854637108e-001 -9.317808565012641e-002  2.496934068055309e-001  1.587860093777749e-001 -2.602081972529576e-001
 4.816666666666666e+000 -1.654788826644505e-002 -1.369991757769109e-001 -9.701417530941250e-002  2.425524628132877e-001  1.637641121036554e-001 -2.577187292463689e-001
 4.825000000000000e+000 -2.800985403279367e-002 -1.358728106036284e-001 -1.009543546942246e-001  2.353008531400114e-001  1.687213689249777e-001 -2.553703466101199e-001
 4.833333333333333e+000 -3.943125399167243e-002 -1.347344878428252e-001 -1.049593405400946e-001  2.280486402935126e-001  1.736348195932749e-001 -2.532483711821106e-001
 4.841666666666667e+000 -5.068692819305269e-002 -1.336259795317505e-001 -1.089964222103462e-001  2.208855961439983e-001  1.784831503916965e-001 -2.514160683569671e-001
 4.850000000000000e+000 -6.167392567539223e-002 -1.325837617220280e-001 -1.130354224234772e-001  2.138904717315566e-001  1.832607682147903e-001 -2.499286950070347e-001
 4.858333333333333e+000 -7.231621279214928e-002 -1.316460209730579e-001 -1.170479179999413e-001  2.071317620568062e-001  1.879733672951166e-001 -2.488165690132756e-001
 4.866666666666666e+000 -8.256359685954426e-002 -1.308562385512908e-001 -1.210067423326214e-001  2.006713939240282e-001  1.926360356509215e-001 -2.480790610371682e-001
 4.875000000000000e+000 -9.239011848678838e-002 -1.302674592382112e-001 -1.248860821154790e-001  1.945681832779301e-001  1.972686797484951e-001 -2.476829738477252e-001
 4.883333333333333e+000 -1.017927828253268e-001 -1.299450117632170e-001 -1.286619991705884e-001  1.888804339370360e-001  2.018910153519186e-001 -2.475628890362137e-001
 4.891666666666667e+000 -1.107895693017577e-001 -1.299662273534015e-001 -1.323131829776711e-001  1.836684353569310e-001  2.065194390367782e-001 -2.476236139550437e-001
 4.900000000000000e+000 -1.194150397405387e-001 -1.304152829984537e-001 -1.358224160912271e-001  1.789973687246136e-001  2.111663656938091e-001 -2.477452673383754e-001
 4.908333333333333e+000 -1.277138048942934e-001 -1.313707096008066e-001 -1.391783219361422e-001  1.749398469251987e-001  2.158404951339970e-001 -2.477897066420566e-001
 4.916666666666666e+000 -1.357333173194477e-001 -1.328850515858169e-001 -1.423755804234750e-001  1.715776409301633e-001  2.205463015373981e-001 -2.476072587087959e-001
 4.925000000000000e+000 -1.435157049772529e-001 -1.349601364875550e-001 -1.454115756928457e-001  1.690034176932907e-001  2.252827199979979e-001 -2.470424571815452e-001
 4.933333333333334e+000 -1.510881371543157e-001 -1.375256476003912e-001 -1.482788975739730e-001  1.673221676985894e-001  2.300413120736369e-001 -2.459375233051686e-001
 4.941666666666666e+000 -1.584543073816608e-001 -1.404305563208332e-001 -1.509572703620568e-001  1.666506505688898e-001  2.348038191636695e-001 -2.441363057064346e-001
